 TITLE="parade results"
 VARIABLES="wavl","emis","absco"
 ZONE I=        4000, F=POINT
      832.800        1.623569E+15     3254.68
      832.995        1.629628E+15     3256.97
      833.190        1.635711E+15     3259.26
      833.386        1.641815E+15     3261.55
      833.581        1.647943E+15     3263.85
      833.777        1.654093E+15     3266.15
      833.972        1.660267E+15     3268.45
      834.168        1.666462E+15     3270.75
      834.364        1.672681E+15     3273.05
      834.560        1.678922E+15     3275.35
      834.756        1.685188E+15     3277.67
      834.952        1.691475E+15     3279.97
      835.148        1.697787E+15     3282.28
      835.344        1.704124E+15     3284.60
      835.540        1.710482E+15     3286.92
      835.737        1.716865E+15     3289.24
      835.933        1.723271E+15     3291.56
      836.130        1.729701E+15     3293.88
      836.327        1.736154E+15     3296.21
      836.524        1.742632E+15     3298.53
      836.721        1.749133E+15     3300.86
      836.918        1.755659E+15     3303.20
      837.115        1.762208E+15     3305.53
      837.312        1.768783E+15     3307.87
      837.509        1.775380E+15     3310.21
      837.706        1.782003E+15     3312.55
      837.904        1.788649E+15     3314.89
      838.102        1.795322E+15     3317.24
      838.299        1.802017E+15     3319.58
      838.497        1.808738E+15     3321.93
      838.695        1.815483E+15     3324.29
      838.893        1.822254E+15     3326.64
      839.091        1.829049E+15     3328.99
      839.289        1.835870E+15     3331.35
      839.487        1.842715E+15     3333.71
      839.685        1.849586E+15     3336.07
      839.884        1.856484E+15     3338.44
      840.082        1.863407E+15     3340.81
      840.281        1.870355E+15     3343.18
      840.479        1.877329E+15     3345.55
      840.678        1.884329E+15     3347.92
      840.877        1.891354E+15     3350.30
      841.076        1.898406E+15     3352.68
      841.275        1.905482E+15     3355.06
      841.474        1.912586E+15     3357.44
      841.673        1.919715E+15     3359.83
      841.873        1.926871E+15     3362.22
      842.072        1.934055E+15     3364.61
      842.272        1.941264E+15     3367.00
      842.471        1.948501E+15     3369.40
      842.671        1.955763E+15     3371.79
      842.871        1.963053E+15     3374.19
      843.071        1.970369E+15     3376.59
      843.271        1.977713E+15     3379.00
      843.471        1.985083E+15     3381.40
      843.671        1.992481E+15     3383.81
      843.871        1.999905E+15     3386.22
      844.072        2.007358E+15     3388.63
      844.272        2.014839E+15     3391.05
      844.473        2.022346E+15     3393.47
      844.674        2.029882E+15     3395.89
      844.874        2.037445E+15     3398.31
      845.075        2.045037E+15     3400.73
      845.276        2.052655E+15     3403.16
      845.477        2.060303E+15     3405.59
      845.678        2.067980E+15     3408.02
      845.880        2.075684E+15     3410.45
      846.081        2.083417E+15     3412.89
      846.282        2.091178E+15     3415.33
      846.484        2.098968E+15     3417.76
      846.685        2.106786E+15     3420.21
      846.887        2.114634E+15     3422.65
      847.089        2.122511E+15     3425.10
      847.291        2.130417E+15     3427.55
      847.493        2.138352E+15     3430.00
      847.695        2.146316E+15     3432.46
      847.897        2.154309E+15     3434.91
      848.099        2.162332E+15     3437.37
      848.302        2.170384E+15     3439.83
      848.504        2.178468E+15     3442.30
      848.707        2.186580E+15     3444.76
      848.910        2.194723E+15     3447.23
      849.112        2.202894E+15     3449.71
      849.315        2.211097E+15     3452.18
      849.518        2.219331E+15     3454.66
      849.721        2.227594E+15     3457.13
      849.925        2.235888E+15     3459.61
      850.128        2.244212E+15     3462.09
      850.331        2.252567E+15     3464.58
      850.535        2.260955E+15     3467.07
      850.738        2.269371E+15     3469.56
      850.942        2.277820E+15     3472.05
      851.146        2.286298E+15     3474.55
      851.349        2.294809E+15     3477.04
      851.553        2.303350E+15     3479.54
      851.757        2.311923E+15     3482.05
      851.962        2.320529E+15     3484.55
      852.166        2.329165E+15     3487.05
      852.370        2.337834E+15     3489.56
      852.575        2.346536E+15     3492.08
      852.779        2.355268E+15     3494.59
      852.984        2.364034E+15     3497.10
      853.189        2.372831E+15     3499.63
      853.393        2.381661E+15     3502.15
      853.598        2.390524E+15     3504.67
      853.803        2.399419E+15     3507.20
      854.008        2.408348E+15     3509.72
      854.214        2.417307E+15     3512.25
      854.419        2.426301E+15     3514.79
      854.624        2.435329E+15     3517.32
      854.830        2.444389E+15     3519.86
      855.036        2.453484E+15     3522.40
      855.241        2.462610E+15     3524.94
      855.447        2.471771E+15     3527.49
      855.653        2.480966E+15     3530.04
      855.859        2.490194E+15     3532.59
      856.065        2.499456E+15     3535.14
      856.271        2.508755E+15     3537.70
      856.478        2.518085E+15     3540.26
      856.684        2.527452E+15     3542.82
      856.891        2.536853E+15     3545.38
      857.097        2.546288E+15     3547.95
      857.304        2.555758E+15     3550.51
      857.511        2.565262E+15     3553.08
      857.718        2.574801E+15     3555.65
      857.925        2.584377E+15     3558.23
      858.132        2.593986E+15     3560.81
      858.339        2.603632E+15     3563.39
      858.546        2.613314E+15     3565.97
      858.754        2.623030E+15     3568.55
      858.961        2.632784E+15     3571.14
      859.169        2.642574E+15     3573.73
      859.377        2.652398E+15     3576.32
      859.584        2.662259E+15     3578.92
      859.792        2.672155E+15     3581.52
      860.000        2.682089E+15     3584.12
      860.208        2.692060E+15     3586.72
      860.417        2.702065E+15     3589.32
      860.625        2.712110E+15     3591.93
      860.833        2.722191E+15     3594.55
      861.042        2.732309E+15     3597.15
      861.250        2.742464E+15     3599.77
      861.459        2.752658E+15     3602.39
      861.668        2.762888E+15     3605.01
      861.877        2.773155E+15     3607.63
      862.086        2.783462E+15     3610.26
      862.295        2.793805E+15     3612.88
      862.504        2.804187E+15     3615.52
      862.714        2.814609E+15     3618.15
      862.923        2.825067E+15     3620.78
      863.133        2.835564E+15     3623.42
      863.342        2.846101E+15     3626.06
      863.552        2.856675E+15     3628.71
      863.762        2.867288E+15     3631.35
      863.972        2.877942E+15     3634.00
      864.182        2.888633E+15     3636.65
      864.392        2.899365E+15     3639.31
      864.602        2.910136E+15     3641.96
      864.813        2.920946E+15     3644.62
      865.023        2.931796E+15     3647.28
      865.234        2.223961E+13     27.5848
      865.444        2.232221E+13     27.6050
      865.655        2.240512E+13     27.6251
      865.866        2.248834E+13     27.6453
      866.077        2.257185E+13     27.6655
      866.288        2.265568E+13     27.6858
      866.499        2.273983E+13     27.7060
      866.710        2.282426E+13     27.7262
      866.922        2.290902E+13     27.7466
      867.133        2.299410E+13     27.7669
      867.345        2.307949E+13     27.7872
      867.556        2.316519E+13     27.8075
      867.768        2.325120E+13     27.8279
      867.980        2.333754E+13     27.8483
      868.192        2.342418E+13     27.8687
      868.404        2.351115E+13     27.8891
      868.616        2.359845E+13     27.9096
      868.829        2.368604E+13     27.9301
      869.041        2.377397E+13     27.9505
      869.254        2.386223E+13     27.9711
      869.466        2.395083E+13     27.9916
      869.679        2.403973E+13     28.0121
      869.892        2.412896E+13     28.0327
      870.105        2.421853E+13     28.0533
      870.318        2.430842E+13     28.0739
      870.531        2.439864E+13     28.0945
      870.744        2.448920E+13     28.1152
      870.957        2.458007E+13     28.1359
      871.171        2.467129E+13     28.1566
      871.384        2.476285E+13     28.1773
      871.598        2.485475E+13     28.1980
      871.812        2.494697E+13     28.2187
      872.026        2.503955E+13     28.2395
      872.240        2.513246E+13     28.2603
      872.454        2.522572E+13     28.2811
      872.668        2.531932E+13     28.3020
      872.882        2.541326E+13     28.3228
      873.097        2.550755E+13     28.3437
      873.311        2.560217E+13     28.3646
      873.526        2.569715E+13     28.3855
      873.741        2.579249E+13     28.4065
      873.955        2.588818E+13     28.4274
      874.170        2.598420E+13     28.4484
      874.385        2.608058E+13     28.4694
      874.600        2.617733E+13     28.4904
      874.816        2.627444E+13     28.5114
      875.031        2.637188E+13     28.5325
      875.247        2.646969E+13     28.5536
      875.462        2.656787E+13     28.5747
      875.678        2.666639E+13     28.5958
      875.893        2.676528E+13     28.6169
      876.109        2.686453E+13     28.6381
      876.325        2.696416E+13     28.6593
      876.541        2.706414E+13     28.6805
      876.758        2.716449E+13     28.7017
      876.974        2.726521E+13     28.7230
      877.190        2.736632E+13     28.7442
      877.407        2.746777E+13     28.7655
      877.623        2.756960E+13     28.7868
      877.840        2.767182E+13     28.8082
      878.057        2.777441E+13     28.8295
      878.274        2.787737E+13     28.8509
      878.491        2.798070E+13     28.8723
      878.708        2.808442E+13     28.8937
      878.925        2.818854E+13     28.9151
      879.143        2.829301E+13     28.9366
      879.360        2.839787E+13     28.9581
      879.578        2.850312E+13     28.9796
      879.796        2.860877E+13     29.0011
      880.013        2.871482E+13     29.0227
      880.231        2.882123E+13     29.0442
      880.449        2.892804E+13     29.0658
      880.667        2.903524E+13     29.0874
      880.886        2.914285E+13     29.1091
      881.104        2.925083E+13     29.1307
      881.323        2.935922E+13     29.1524
      881.541        2.946800E+13     29.1741
      881.760        2.957720E+13     29.1958
      881.979        2.968680E+13     29.2175
      882.197        2.979678E+13     29.2393
      882.416        2.990717E+13     29.2611
      882.636        3.001797E+13     29.2829
      882.855        3.012919E+13     29.3047
      883.074        3.024079E+13     29.3266
      883.294        3.035281E+13     29.3484
      883.513        3.046524E+13     29.3703
      883.733        3.057809E+13     29.3922
      883.953        3.069137E+13     29.4142
      884.172        3.080503E+13     29.4361
      884.392        3.091912E+13     29.4581
      884.612        3.103364E+13     29.4801
      884.833        3.114858E+13     29.5021
      885.053        3.126395E+13     29.5241
      885.273        3.137972E+13     29.5462
      885.494        3.149591E+13     29.5683
      885.715        3.161254E+13     29.5904
      885.935        3.172961E+13     29.6125
      886.156        3.184712E+13     29.6347
      886.377        3.196502E+13     29.6568
      886.598        3.208337E+13     29.6791
      886.819        3.220215E+13     29.7013
      887.041        3.232138E+13     29.7235
      887.262        3.244105E+13     29.7458
      887.484        3.256113E+13     29.7680
