y rho t u v xe xN xO xN2 xNO xO2 xN2p xNOp xNp xO2p xOp
97  
 1.590236E-01 1.970281E-02 3.522215E+02 1.196322E+00 -5.282884E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 0.000000E+00 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 1.573773E-01 1.970281E-02 3.522217E+02 1.191201E+00 -5.310356E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 0.000000E+00 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 1.557310E-01 1.970280E-02 3.522218E+02 1.186057E+00 -5.337944E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 0.000000E+00 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 1.540846E-01 1.970279E-02 3.522220E+02 1.180912E+00 -5.365533E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 0.000000E+00 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 1.524383E-01 1.970278E-02 3.522222E+02 1.176355E+00 -5.393451E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 0.000000E+00 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 1.507920E-01 1.970276E-02 3.522225E+02 1.169492E+00 -5.411134E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 0.000000E+00 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 1.491457E-01 1.970274E-02 3.522229E+02 1.161988E+00 -5.427170E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 0.000000E+00 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 1.474994E-01 1.970272E-02 3.522233E+02 1.154468E+00 -5.443177E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 0.000000E+00 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 1.458531E-01 1.970270E-02 3.522236E+02 1.147600E+00 -5.460353E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 0.000000E+00 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 1.442067E-01 1.970267E-02 3.522241E+02 1.141382E+00 -5.481242E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 0.000000E+00 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 1.425604E-01 1.970264E-02 3.522247E+02 1.135559E+00 -5.504379E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 0.000000E+00 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 1.409141E-01 1.970261E-02 3.522253E+02 1.129739E+00 -5.527361E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 0.000000E+00 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 1.392678E-01 1.970257E-02 3.522259E+02 1.123942E+00 -5.549543E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 0.000000E+00 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 1.376215E-01 1.970252E-02 3.522269E+02 1.117216E+00 -5.572407E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 0.000000E+00 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 1.359752E-01 1.970245E-02 3.522281E+02 1.110053E+00 -5.595326E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 0.000000E+00 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 1.343289E-01 1.970238E-02 3.522293E+02 1.103078E+00 -5.617492E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 0.000000E+00 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 1.326825E-01 1.970231E-02 3.522306E+02 1.095916E+00 -5.640404E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 0.000000E+00 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 1.310362E-01 1.970212E-02 3.522340E+02 1.089709E+00 -5.667586E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 0.000000E+00 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
